timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
473316157,13398.0,33.418312,15,1756,14336,0,3,120
474317026,13430.069,33.414883,15,3692,14336,0,3,120
475318012,13466.495,33.422276,15,1204,14336,0,3,120
476319013,13500.058,33.422535,15,1929,14336,0,3,120
477320246,13532.052,33.418907,15,4563,14336,0,3,120
478323489,13570.006,33.429817,15,1266,14336,0,3,120
479326332,13602.498,33.427277,15,2631,14336,0,3,120
480326812,13636.0,33.427418,15,3388,14336,0,3,120
481327613,13672.042,33.433746,15,1770,14336,0,3,120
482331147,13706.0,33.43474,15,1417,14336,0,3,120
483333133,13738.077,33.431274,15,3447,14336,0,3,120
484334506,13770.305,33.428238,15,6114,14336,0,3,120
485335018,13808.025,33.43859,15,2469,14336,0,3,120
486336146,13840.271,33.43562,15,4809,14336,0,3,120
487337054,13874.0,33.436256,15,6131,14336,0,3,120
488338000,13910.099,33.442577,15,3466,14336,0,3,120
491343265,13976.363,33.36085,17,2854,14336,0,3,120
492348288,14008.501,33.35754,17,3832,14336,0,3,120
493350081,14042.0,33.357735,17,4285,14336,0,3,120
494351013,14078.474,33.365044,17,1045,14336,0,3,120
495354465,14112.0,33.365154,17,936,14336,0,3,120
496356039,14144.06,33.36195,17,3078,14336,0,3,120
497358217,14180.509,33.369045,17,1567,14336,0,3,120
