timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
83362921,0.8592874,-0.082520075,-0.03835381,-0.5033336,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83418714,0.8579552,-0.08530147,-0.043837033,-0.504693,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83469723,0.8570486,-0.08864248,-0.04676024,-0.5053945,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83518885,0.8564284,-0.09396407,-0.049571548,-0.50521684,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83570958,0.856313,-0.097724795,-0.054144766,-0.5042285,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83625723,0.856399,-0.10055629,-0.05765904,-0.50313485,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83674780,0.8565692,-0.103094295,-0.060678396,-0.5019753,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83727803,0.8569942,-0.10539449,-0.06259267,-0.50053495,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83781751,0.85775375,-0.1064144,-0.06484122,-0.4987285,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83834819,0.85847485,-0.10699483,-0.06638183,-0.49715853,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83883818,0.8593659,-0.10597728,-0.065280296,-0.49598166,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83940712,0.8601739,-0.10474866,-0.063370526,-0.4950887,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83990803,0.8606313,-0.1045044,-0.063426755,-0.49433774,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
