timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
480750146,0.20073897,0.05011566,0.4070308
480761451,0.20376334,0.053011432,0.4070308
480772866,0.20073897,0.05011566,0.4070308
480784133,0.20073897,0.047219884,0.4131995
480795438,0.20073897,0.044324107,0.4070308
480806810,0.20073897,0.044324107,0.40394637
480818181,0.20073897,0.047219884,0.40394637
480829467,0.20073897,0.047219884,0.4131995
480841256,0.20073897,0.05011566,0.41011515
480852772,0.20073897,0.047219884,0.41936827
480864449,0.20073897,0.047219884,0.4162839
480875797,0.20376334,0.044324107,0.41011515
480887190,0.20073897,0.047219884,0.40394637
480898453,0.20073897,0.047219884,0.40394637
480909803,0.19771457,0.044324107,0.41011515
480921891,0.20073897,0.04142833,0.40394637
480933157,0.19771457,0.04142833,0.40394637
480944433,0.20376334,0.04142833,0.4131995
480956096,0.19771457,0.04142833,0.41011515
480967406,0.20073897,0.044324107,0.40394637
480979433,0.19771457,0.047219884,0.4131995
480990867,0.19771457,0.047219884,0.41011515
481002142,0.19771457,0.044324107,0.4131995
481013429,0.1946902,0.044324107,0.4070308
481024802,0.1916658,0.044324107,0.4131995
481036069,0.1946902,0.04142833,0.4070308
481047373,0.1946902,0.044324107,0.41011515
481058856,0.1916658,0.044324107,0.4070308
481070124,0.1946902,0.047219884,0.4131995
481081441,0.1916658,0.047219884,0.41936827
481092864,0.1946902,0.047219884,0.4070308
481104907,0.19771457,0.047219884,0.41011515
481116181,0.19771457,0.05011566,0.4131995
481127451,0.19771457,0.05011566,0.40394637
481138857,0.1946902,0.05011566,0.41011515
481150121,0.1916658,0.047219884,0.41011515
481161445,0.1916658,0.05011566,0.4131995
481172967,0.1916658,0.05011566,0.40394637
481184275,0.1946902,0.047219884,0.4131995
481196024,0.1916658,0.05011566,0.4162839
481207388,0.18864141,0.053011432,0.4070308
481219189,0.1916658,0.053011432,0.41011515
481230480,0.18864141,0.05011566,0.42245263
481241887,0.18561703,0.05011566,0.4131995
481253145,0.18561703,0.047219884,0.4131995
481264450,0.18864141,0.047219884,0.4131995
481275884,0.1916658,0.05011566,0.41011515
481287163,0.1946902,0.05011566,0.41011515
481298436,0.19771457,0.053011432,0.41011515
481309801,0.1916658,0.053011432,0.4131995
481321198,0.1916658,0.05011566,0.4162839
481332998,0.1916658,0.05011566,0.4131995
481344289,0.1916658,0.047219884,0.4131995
481355768,0.1946902,0.047219884,0.4162839
481367178,0.1946902,0.047219884,0.4162839
481378440,0.1916658,0.05011566,0.4131995
481391319,0.1916658,0.05011566,0.4131995
481403165,0.1916658,0.05011566,0.4131995
481414433,0.1916658,0.05011566,0.41011515
481425809,0.18864141,0.05011566,0.4131995
481437208,0.18864141,0.05011566,0.4162839
481448476,0.1916658,0.05011566,0.4131995
481459991,0.18864141,0.05011566,0.4131995
481471290,0.18864141,0.053011432,0.42245263
481483366,0.1916658,0.05011566,0.41011515
481494884,0.1946902,0.053011432,0.4070308
481506193,0.1916658,0.053011432,0.4131995
481517480,0.1946902,0.053011432,0.40394637
481528981,0.1916658,0.055907212,0.4070308
481540259,0.1916658,0.055907212,0.4070308
481551790,0.1946902,0.055907212,0.4070308
481563466,0.1946902,0.055907212,0.41936827
481575136,0.1946902,0.055907212,0.4131995
481586460,0.1946902,0.055907212,0.4131995
481597861,0.1916658,0.055907212,0.41011515
481609120,0.18864141,0.053011432,0.40394637
481620496,0.18561703,0.05011566,0.4131995
481631808,0.18864141,0.053011432,0.41936827
481643176,0.1916658,0.053011432,0.41011515
481654453,0.1916658,0.053011432,0.4162839
481666054,0.1916658,0.055907212,0.40394637
481677452,0.1946902,0.055907212,0.4070308
481689329,0.1946902,0.058802985,0.40394637
481701299,0.1946902,0.055907212,0.40394637
481713069,0.1946902,0.053011432,0.4070308
481724368,0.1946902,0.053011432,0.41011515
481735816,0.1946902,0.055907212,0.41011515
481747172,0.19771457,0.055907212,0.4131995
481758460,0.1946902,0.053011432,0.41011515
481770075,0.19771457,0.05011566,0.41011515
481781432,0.1946902,0.05011566,0.4131995
481792996,0.1946902,0.053011432,0.41011515
481804346,0.1946902,0.053011432,0.4162839
481815824,0.1946902,0.05011566,0.41011515
481827210,0.1946902,0.05011566,0.4070308
481838504,0.1916658,0.047219884,0.40394637
481849964,0.1946902,0.047219884,0.4131995
481861970,0.19771457,0.047219884,0.4070308
481873227,0.19771457,0.05011566,0.41011515
481884496,0.19771457,0.053011432,0.40394637
481896097,0.19771457,0.053011432,0.4070308
481907473,0.1946902,0.05011566,0.40394637
481919226,0.1946902,0.047219884,0.4070308
481930505,0.19771457,0.047219884,0.4131995
481942095,0.19771457,0.047219884,0.4131995
481953451,0.20073897,0.047219884,0.41011515
481964886,0.19771457,0.047219884,0.400862
481976275,0.19771457,0.044324107,0.4131995
481987871,0.19771457,0.04142833,0.3946933
481999835,0.20073897,0.044324107,0.40394637
482011108,0.20073897,0.047219884,0.40394637
482022429,0.19771457,0.047219884,0.4131995
482033808,0.19771457,0.044324107,0.41011515
482045224,0.1946902,0.044324107,0.41011515
482056489,0.20073897,0.04142833,0.4131995
482068102,0.20073897,0.04142833,0.41011515
482079428,0.20073897,0.044324107,0.4162839
482091100,0.20073897,0.044324107,0.41011515
482102767,0.19771457,0.044324107,0.41011515
482114026,0.1946902,0.044324107,0.4070308
482125366,0.1946902,0.044324107,0.40394637
482136855,0.1946902,0.044324107,0.4070308
482148111,0.19771457,0.044324107,0.41011515
482159397,0.19771457,0.047219884,0.41011515
482170862,0.19771457,0.044324107,0.41011515
482182136,0.19771457,0.04142833,0.4131995
482193433,0.20073897,0.04142833,0.4070308
482205289,0.19771457,0.04142833,0.40394637
482216887,0.19771457,0.04142833,0.41011515
482228149,0.20073897,0.04142833,0.40394637
482239431,0.19771457,0.04142833,0.41011515
482250861,0.19771457,0.044324107,0.4131995
